Vegetation Type,Acres,Unburned,Moderate,High,Total_Burned
,859.5,858.3,0.0,1.1,1.1
Cushion Plant,4301.4,4270.3,10.6,20.6,31.200000000000003
Deciduous Riparian,2228.0,2208.0,6.2,13.8,20.0
Meadow,2241.6,2238.5,2.2,0.8,3.0
Red Fir Forest,31556.5,30694.1,140.4,722.0,862.4
Sagebrush Scrub,1057.5,1057.5,0.0,0.0,0.0
Shrub,7537.7,7382.1,42.9,112.7,155.6
Subalpine Forest,18910.5,18587.3,91.9,231.2,323.1
Water,3876.7,3876.7,0.0,0.0,0.0
Wetland,1322.4,1320.7,0.8,0.9,1.7000000000000002
Yellow Pine Forest,97504.1,92968.1,871.4,3664.6,4536.0
