Vegetation Type,Moderate Clump,Moderate Dense Clump,Moderate Individual,Moderate Open,Moderate Scattered Clump,Moderate Sparse,Moderate Stand Initiation,Moderate water,High Clump,High Dense Clump,High Individual,High Open,High Scattered Clump,High Sparse,High Stand Initiation
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0
Cushion Plant,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0
Deciduous Riparian,3.6,1.4,0.0,1.2,0.0,0.0,0.0,0.0,2.6,5.7,0.0,4.7,0.7,0.0,0.2
Meadow,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
Red Fir Forest,15.4,0.6,1.5,0.0,87.9,9.9,25.0,0.0,142.4,23.0,3.1,0.0,476.5,20.7,56.3
Sagebrush Scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrub,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.7,0.0,0.0,0.0
Subalpine Forest,4.8,0.0,1.0,0.0,53.3,8.5,24.3,0.0,20.4,0.0,2.2,0.0,155.1,11.1,42.4
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wetland,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
Yellow Pine Forest,291.9,104.4,6.9,0.0,315.6,35.2,117.4,0.0,1527.1,527.2,22.4,0.0,1085.2,100.4,402.4
