Vegetation Type,Clump,Dense Clump,Individual,Open,Scattered Clump,Sparse,Stand Initiation,river,water
,0.1,0.2,0.1,858.2,0.2,0.2,0.6,0.0,0.0
Cushion Plant,0.0,0.0,0.0,4301.4,0.0,0.0,0.0,0.0,0.0
Deciduous Riparian,593.2,626.0,10.4,368.8,310.8,68.2,250.5,0.0,0.0
Meadow,0.0,0.0,0.0,2241.6,0.0,0.0,0.0,0.0,0.0
Red Fir Forest,6663.3,652.4,331.0,0.0,13809.7,1986.9,8113.3,0.0,0.0
Sagebrush Scrub,0.0,0.0,0.0,1057.5,0.0,0.0,0.0,0.0,0.0
Shrub,0.0,0.0,0.0,7537.7,0.0,0.0,0.0,0.0,0.0
Subalpine Forest,1639.3,73.9,193.3,0.0,8246.0,1863.4,6894.5,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.6,3718.2
Wetland,0.0,0.0,0.0,1322.4,0.0,0.0,0.0,0.0,0.0
Yellow Pine Forest,27285.1,5615.3,1189.8,0.0,40788.7,6857.1,15768.1,0.0,0.0
