Parcel,Jurisdiction,Bailey1a,Bailey1b,Bailey1c,Bailey2,Bailey3,Bailey4,Bailey5,Bailey6,Bailey7
016-181-006,EL,,,,,,,,,10524.73118
1418-10-801-004,DG,,,,,,127,,,
097-050-043,PL,,,,,,,,4239,
112-280-009,PL,,,,,,,,2900,
1418-34-310-004,DG,,,,,,250,,,
1418-15-701-002,DG,,,,,,,,10854,
125-471-05,WA,,,,,,870,,,
092-100-004,PL,,,,,,,3049,,
1418-34-401-001,DG,,,,,,,,143,
036-391-003,EL,,,,,,,,669,
123-131-01,WA,,,,,,,5096,,
014-324-008,EL,,,,,,,,1096.774194,
125-172-12,WA,,,,,,,,600,
131-214-03,WA,,,,,,966,,,
1318-10-415-042,DG,0,,,,,,,,
029-361-027,CSLT,0,,,,,,,,
126-010-60,WA,,0,,,,,,,
1418-27-210-037,DG,,,,,,3047,,,
033-533-002,EL,,,,,,,489.7849462,,
131-080-16,WA,,,,,,,,1012,
085-350-015,PL,,,,,,,,86,
017-041-027,EL,,,,,,,5366,,
025-041-023,CSLT,,,,,,,,,82233.78495
115-020-042,PL,,,,,,,,747,
085-201-020,PL,,,,,,,3060,,
085-213-018,PL,,,,,,,588,,
016-300-038,EL,,,,,,,,112,
1418-03-301-011,DG,,,,,,,,3687,
1418-10-601-001,DG,,,,,,,,40,
033-531-001,EL,,,,,,,75,,
083-172-009,PL,,,,,,,,4289,
1318-03-110-020,DG,,,,,,808.5537634,,,
034-727-007,EL,,,,,,,,728,
124-071-17,WA,,,,,,,,3590,
097-084-020,PL,,,,,,,451,,
122-100-29,WA,,,,,,,,310,
022-200-014,CSLT,,,,,,,,,3514
115-040-082,PL,,,,,,,,1303,
122-162-23,WA,,,,,,,,1462,
131-250-17,WA,,,,,,,,512,
124-061-04,WA,,,,,,518,,,
1418-10-511-006,DG,,,,,,,1119,,
080-050-011,EL,,,,,,,224,,
130-211-25,WA,,,,,,,,1627.462366,
124-071-14,WA,,,,,,,,471,
1418-03-801-004,DG,,,,,,,,2100,
034-171-002,EL,,,,,,,,6139.032258,
117-072-006,PL,,,,,,,407,,
029-010-022,CSLT,,,,,,,,10402.30108,
028-131-008,CSLT,,,,,,126,,,
032-343-005,EL,,,,,,,252,,
034-161-016,EL,,,,,,,1074,,
085-341-005,PL,,,,,,,,,1998
123-250-07,WA,,,,,,,,,7556
026-122-015,CSLT,,,,,,,,,1610
1318-27-001-015,DG,,,,,,,,,28017
036-611-019,EL,,,,,,1246,,,
1418-34-401-004,DG,,,,,,,,1245,
083-195-006,PL,,,,,,,,442.4731183,
022-182-045,CSLT,,,,,,,,,4084.311828
098-170-003,PL,,,,,,,466,,
032-291-028,CSLT,,,,,,,,,37254
025-021-081,CSLT,,,,,,,,,9169
021-251-014,EL,,,,,,,4463,,
128-071-01,WA,,,,,,,,24,
034-382-006,EL,,,,,,,,,720
016-300-062,EL,,,,,,2060,,,
126-263-04,WA,,,,,,28,,,
094-140-017,PL,,,,,,,3720,,
130-211-38,WA,,,,,,,,1511,
023-655-023,CSLT,,,,,,,,346,
026-061-013,CSLT,,,,,,,,,2197
1418-15-701-001,DG,,,,,,,,51941.01075,
122-142-19,WA,,,,,,644,,,
131-250-16,WA,,,,,,,,997,
085-280-044,PL,,,,,,,,477,
034-171-003,EL,,,,,,,,6776.83871,
033-581-017,EL,,,,,,,,,3351
030-352-015,CSLT,,,,,,,,958,
025-354-015,EL,,,,,,,,,2624
017-021-033,EL,,,,,,,,1620,
027-010-030,CSLT,,,,,,,,,1
034-203-013,EL,,,,,,,1074.537634,,
094-211-018,PL,,,,,,,,,756
098-293-007,PL,,,,,,,,,3172
021-210-013,EL,,,,,,,,,1355
1418-34-310-005,DG,,,,,,935,,,
