"site","Depth","Sample_Date","Chl","AFDW","Lake_Level"
"Rubicon Pt.",0.5,2000-03-07,16.28666667,,6228.16
"Rubicon Pt.",0.5,2000-04-05,15.46,,6228.14
"Rubicon Pt.",0.5,2000-05-01,11.2,,6228.48
"Rubicon Pt.",0.5,2000-06-06,11.11666667,,6229.03
"Rubicon Pt.",0.5,2000-08-22,14.84,,6228.16
"Rubicon Pt.",0.5,2000-12-04,23.57333333,,6226.76
"Rubicon Pt.",0.5,2001-01-18,16.84,,6226.42
"Rubicon Pt.",0.5,2001-03-08,19.22,,6226.26
"Rubicon Pt.",0.5,2001-04-05,18.17333333,,6226.23
"Rubicon Pt.",0.5,2001-05-04,5.493333333,,6226.35
"Rubicon Pt.",0.5,2001-05-31,12,,6226.53
"Rubicon Pt.",0.5,2001-08-27,6.76,,6225.19
"Rubicon Pt.",0.5,2001-12-21,24.54666667,,6224.09
"Rubicon Pt.",0.5,2002-01-31,27.10333333,,6224.15
"Rubicon Pt.",0.5,2002-02-28,19.26666667,,6224.19
"Rubicon Pt.",0.5,2002-04-08,32.19,,6224.43
"Rubicon Pt.",0.5,2002-05-28,6.31,,6224.95
"Rubicon Pt.",0.5,2002-07-03,7.083333333,,6225.01
"Rubicon Pt.",0.5,2002-09-16,12.78,,6223.73
"Rubicon Pt.",0.5,2003-01-16,28.08,,6223.61
"Rubicon Pt.",0.5,2003-02-21,36.05,30.28,6223.7
"Rubicon Pt.",0.5,2003-03-18,21.98,,6223.72
"Rubicon Pt.",0.5,2003-04-30,36.62333333,34.61,6224.12
"Rubicon Pt.",0.5,2003-06-06,49.15,63.97,6224.78
"Rubicon Pt.",0.5,2003-06-27,16.17,,6224.88
"Rubicon Pt.",0.5,2003-09-12,8.823333333,,6223.92
"Rubicon Pt.",0.5,2003-12-03,11.755,15.41,6222.86
"Rubicon Pt.",0.5,2004-11-02,52.2,39.23,6222.69
"Rubicon Pt.",0.5,2005-01-05,18.49,18.22,6222.74
"Rubicon Pt.",0.5,2005-03-03,64.1,43.07,6223.21
"Rubicon Pt.",0.5,2005-03-30,64.175,53.89,6223.62
"Rubicon Pt.",0.5,2005-04-21,19.035,20.89,6223.71
"Rubicon Pt.",0.5,2005-06-15,3.87,5.24,6225.39
"Rubicon Pt.",0.5,2005-06-29,5.4,4.56,6225.53
"Rubicon Pt.",0.5,2005-08-23,2.68,,6225.08
"Rubicon Pt.",0.5,2005-11-18,14.8,13.7,6223.82
"Rubicon Pt.",0.5,2005-12-16,9.615,12.47,6224.07
"Rubicon Pt.",0.5,2006-01-20,3.905,,6225.91
"Rubicon Pt.",0.5,2006-02-23,,0.18,6226.05
"Rubicon Pt.",0.5,2006-03-21,4.985,4.9,6226.61
"Rubicon Pt.",0.5,2006-04-20,19.105,7.29,6227.27
"Rubicon Pt.",0.5,2006-06-14,3.305,4.65,6228.92
"Rubicon Pt.",0.5,2006-06-28,5.91,7.18,6229.06
"Rubicon Pt.",0.5,2006-12-04,8.295,3.15,6227.1
"Rubicon Pt.",0.5,2007-01-26,26.975,7.21,6226.87
"Rubicon Pt.",0.5,2007-02-15,63.37,16.68,6226.96
"Rubicon Pt.",0.5,2007-03-14,59.69,15.66,6227.12
"Rubicon Pt.",0.5,2007-04-05,31.955,17.76,6227.27
"Rubicon Pt.",0.5,2007-05-17,43.055,34.49,6227.56
"Rubicon Pt.",0.5,2007-06-14,5.005,5.01,6227.57
"Rubicon Pt.",0.5,2007-12-12,,,6224.82
"Rubicon Pt.",0.5,2008-02-11,70.815,27.82,6225.1
