"site","Depth","Sample_Date","Chl","AFDW","Lake_Level"
"Sugar Pine Pt.",0.5,2000-03-07,20.39333333,,6228.16
"Sugar Pine Pt.",0.5,2000-04-05,10.03,,6228.14
"Sugar Pine Pt.",0.5,2000-05-01,15.57,,6228.48
"Sugar Pine Pt.",0.5,2000-06-06,15.72333333,,6229.03
"Sugar Pine Pt.",0.5,2000-08-22,52.73333333,,6228.16
"Sugar Pine Pt.",0.5,2000-12-04,18.46,,6226.76
"Sugar Pine Pt.",0.5,2001-01-18,17.87,,6226.42
"Sugar Pine Pt.",0.5,2001-03-08,13.455,,6226.26
"Sugar Pine Pt.",0.5,2001-04-05,14.79333333,,6226.23
"Sugar Pine Pt.",0.5,2001-05-04,10.02333333,,6226.35
"Sugar Pine Pt.",0.5,2001-05-31,11.22,,6226.53
"Sugar Pine Pt.",0.5,2001-08-27,,,6225.19
"Sugar Pine Pt.",0.5,2001-12-21,5.983333333,,6224.09
"Sugar Pine Pt.",0.5,2002-01-31,4.683333333,,6224.15
"Sugar Pine Pt.",0.5,2002-02-28,5.5,,6224.19
"Sugar Pine Pt.",0.5,2002-04-08,1.93,,6224.43
"Sugar Pine Pt.",0.5,2002-05-28,3.08,,6224.95
"Sugar Pine Pt.",0.5,2002-07-03,1.246666667,,6225.01
"Sugar Pine Pt.",0.5,2002-09-16,0.906666667,,6223.73
"Sugar Pine Pt.",0.5,2003-01-16,8.775,,6223.61
"Sugar Pine Pt.",0.5,2003-02-21,14.435,23.08,6223.7
"Sugar Pine Pt.",0.5,2003-03-18,8.333333333,,6223.72
"Sugar Pine Pt.",0.5,2003-04-30,,10.86,6224.12
"Sugar Pine Pt.",0.5,2003-06-06,10.48666667,9.86,6224.78
"Sugar Pine Pt.",0.5,2003-06-27,0.83,,6224.88
"Sugar Pine Pt.",0.5,2003-09-12,4.56,,6223.92
"Sugar Pine Pt.",0.5,2003-12-03,11.17,13.63,6222.86
"Sugar Pine Pt.",0.5,2004-11-02,17.735,14.82,6222.69
"Sugar Pine Pt.",0.5,2005-01-05,14.11,14.24,6222.74
"Sugar Pine Pt.",0.5,2005-03-03,35.51,31.94,6223.21
"Sugar Pine Pt.",0.5,2005-03-30,11.195,11.43,6223.62
"Sugar Pine Pt.",0.5,2005-04-21,5.79,10.93,6223.71
"Sugar Pine Pt.",0.5,2005-06-15,2.41,,6225.39
"Sugar Pine Pt.",0.5,2005-06-29,,,6225.53
"Sugar Pine Pt.",0.5,2005-08-23,,0.75,6225.08
"Sugar Pine Pt.",0.5,2005-11-18,6.96,7.05,6223.82
"Sugar Pine Pt.",0.5,2005-12-16,4.65,,6224.07
"Sugar Pine Pt.",0.5,2006-01-20,,,6225.91
"Sugar Pine Pt.",0.5,2006-02-23,,3.02,6226.05
"Sugar Pine Pt.",0.5,2006-03-21,1.915,,6226.61
"Sugar Pine Pt.",0.5,2006-04-20,12.54,4.63,6227.27
"Sugar Pine Pt.",0.5,2006-06-14,11.935,12.21,6228.92
"Sugar Pine Pt.",0.5,2006-06-28,2.88,3.84,6229.06
"Sugar Pine Pt.",0.5,2006-12-04,2.785,,6227.1
"Sugar Pine Pt.",0.5,2007-01-26,13.365,1.61,6226.87
"Sugar Pine Pt.",0.5,2007-02-15,6.74,2.42,6226.96
"Sugar Pine Pt.",0.5,2007-03-14,37.175,14.03,6227.12
"Sugar Pine Pt.",0.5,2007-04-05,12.94,7.48,6227.27
"Sugar Pine Pt.",0.5,2007-05-17,9.595,7.09,6227.56
"Sugar Pine Pt.",0.5,2007-06-14,1.765,2.31,6227.57
"Sugar Pine Pt.",0.5,2007-12-12,10.52,7.92,6224.82
"Sugar Pine Pt.",0.5,2008-02-11,31.175,18.35,6225.1
"Sugar Pine Pt.",0.5,2008-03-12,17.44,8.59,6225.14
"Sugar Pine Pt.",0.5,2008-04-10,32.145,13.33,6225.09
"Sugar Pine Pt.",0.5,2008-05-23,13.775,8.38,6225.38
"Sugar Pine Pt.",0.5,2008-08-13,7.61,10.1,6224.63
"Sugar Pine Pt.",0.5,2009-01-23,34.02,21.83,6223.28
"Sugar Pine Pt.",0.5,2009-03-10,45.52,31.36,6223.62
"Sugar Pine Pt.",0.5,2009-03-31,39.97,39.41,6223.68
"Sugar Pine Pt.",0.5,2009-06-25,5.155,9,6224.58
"Sugar Pine Pt.",0.5,2009-09-22,16.355,18.71,6223.31
"Sugar Pine Pt.",0.5,2010-01-04,24.365,26.94,6222.77
"Sugar Pine Pt.",0.5,2010-02-25,27.385,22.36,6223.13
"Sugar Pine Pt.",0.5,2010-03-24,55.51,44.91,6223.24
"Sugar Pine Pt.",0.5,2010-04-13,,,6223.44
"Sugar Pine Pt.",0.5,2010-10-13,27.85,24.89,6223.53
"Sugar Pine Pt.",0.5,2011-01-05,10.06,8.8,6224.55
"Sugar Pine Pt.",0.5,2011-03-28,7.355,2.89,6225.62
"Sugar Pine Pt.",0.5,2011-04-29,6.565,2,6226.04
"Sugar Pine Pt.",0.5,2011-06-30,,,6228
"Sugar Pine Pt.",0.5,2011-10-28,,0.38,6227.44
"Sugar Pine Pt.",0.5,2012-01-12,1.71,,6226.66
"Sugar Pine Pt.",0.5,2012-03-19,5.71,2.42,6227.02
"Sugar Pine Pt.",0.5,2012-04-09,3.89,3.57,6227.12
"Sugar Pine Pt.",0.5,2012-06-11,1.475,,6227.63
"Sugar Pine Pt.",0.5,2012-08-27,2.435,1.74,6226.57
"Sugar Pine Pt.",0.5,2013-01-17,6.83,3.36,6226.04
"Sugar Pine Pt.",0.5,2013-02-28,7.285,,6225.82
"Sugar Pine Pt.",0.5,2013-03-27,4.605,,6225.9
"Sugar Pine Pt.",0.5,2013-06-21,5.4,5.13,6226.16
"Sugar Pine Pt.",0.5,2013-11-14,18.955,18.83,6223.98
"Sugar Pine Pt.",0.5,2014-03-04,4.29,,6224.16
"Sugar Pine Pt.",0.5,2014-04-11,9.745,,6224.27
"Sugar Pine Pt.",0.5,2014-05-21,7.11,11.13,6224.42
"Sugar Pine Pt.",0.5,2014-07-02,9.57,,6224.09
"Sugar Pine Pt.",0.5,2014-11-11,15.84,17.69,6222.68
"Sugar Pine Pt.",0.5,2015-02-20,16.82,19.98,6222.84
"Sugar Pine Pt.",0.5,2015-03-19,14.85,17.02,6222.83
"Sugar Pine Pt.",0.5,2015-04-09,12.365,15.61,6222.77
"Sugar Pine Pt.",0.5,2015-06-16,9.124922234,14.2723275,6222.98
"Sugar Pine Pt.",0.5,2015-11-19,31.04323801,33.22008747,6221.53
"Sugar Pine Pt.",0.5,2016-02-29,66.34772803,70.89950099,6222.24
"Sugar Pine Pt.",0.5,2016-03-31,30.26784441,27.77691677,6222.86
"Sugar Pine Pt.",0.5,2016-05-04,30.28871262,41.06737822,6223.43
"Sugar Pine Pt.",0.5,2016-06-29,,,6223.96
"Sugar Pine Pt.",0.5,2016-10-20,23.43858864,20.6525451,6222.76
"Sugar Pine Pt.",0.5,2017-04-04,6.44,3.89,6227.24
"Sugar Pine Pt.",0.5,2017-05-22,1.930298072,,6228.14
"Sugar Pine Pt.",0.5,2017-06-14,2.972204104,2.698828442,6228.62
"Sugar Pine Pt.",0.5,2017-07-20,,1.11,6228.92
"Sugar Pine Pt.",0.5,2018-01-02,,,6227.74
"Sugar Pine Pt.",0.5,2018-02-06,,,6227.96
"Sugar Pine Pt.",0.5,2018-03-29,5.154287211,2.537195442,6228.58
"Sugar Pine Pt.",0.5,2018-04-25,10.14750741,5.376372362,6228.66
"Sugar Pine Pt.",0.5,2018-07-25,,,6228.65
"Sugar Pine Pt.",0.5,2019-01-11,,2.819706499,6226.73
"Sugar Pine Pt.",0.5,2019-03-19,18.36669977,7.261500972,6227.92
"Sugar Pine Pt.",0.5,2019-04-26,9.705064221,7.020956095,6228
"Sugar Pine Pt.",0.5,2019-06-18,2.99,2.58,6228.95
"Sugar Pine Pt.",0.5,2019-08-30,,0.161725067,6228.51
"Sugar Pine Pt.",0.5,2020-02-14,17.9,10.44270851,6227.36
"Sugar Pine Pt.",0.5,2020-04-15,13.02,10.50897494,6227.54
"Sugar Pine Pt.",0.5,2020-06-02,11.73,10.95167794,6227.96
"Sugar Pine Pt.",0.5,2020-06-24,7.61,9.385358545,6227.86
"Sugar Pine Pt.",0.5,2020-10-16,7.97,,6226.21
"Sugar Pine Pt.",0.5,2021-02-24,,4.81,6225.67
"Sugar Pine Pt.",0.5,2021-03-25,,3.21,6225.47
"Sugar Pine Pt.",0.5,2021-04-30,,7.74,6225.26
"Sugar Pine Pt.",0.5,2021-06-16,,,6224.88
"Sugar Pine Pt.",0.5,2021-08-13,,0.38,6224.02
