Land_cap_category,JURISDICTION,CommercialFloorArea_SqFt,cfa
Non-Sensitive,CC,0,0
Non-Sensitive,CSLT,3516383.14,3516383
Non-Sensitive,DG,138816.695,138817
Non-Sensitive,EL,270895.6428,270896
Non-Sensitive,PL,1722713.094,1722713
Non-Sensitive,WA,1956324.709,1956325
SEZ,CC,0,0
SEZ,CSLT,1316327.931,1316328
SEZ,DG,19.60414831,20
SEZ,EL,100597.9279,100598
SEZ,PL,491815.318,491815
SEZ,WA,2485.123357,2485
Sensitive,CC,0,0
Sensitive,CSLT,14350.18128,14350
Sensitive,DG,911340.5086,911341
Sensitive,EL,89110.54535,89111
Sensitive,PL,48027.61904,48028
Sensitive,WA,210549.7001,210550
,PL,0,0
