IndicatorID,ThresholdCategory,ThresholdReportingCategory,IndicatorName,Status2011,Trend2011,Confidence2011,Status2015,Trend2015,Confidence2015,Status2019,Trend2019,Confidence2019,Status2023,Trend2023,Confidence2023
63,Air Quality,Carbon Monoxide (CO),Highest 1-Hour Concentration of Carbon Monoxide,Considerably Better Than Target,Rapid Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,Moderate,,,,,,
64,Air Quality,Carbon Monoxide (CO),Highest 8-Hour Average Concentration of Carbon Monoxide,Considerably Better Than Target,Rapid Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Moderate Decline,Moderate
65,Air Quality,Carbon Monoxide (CO),"Average Daily Winter Traffic Volume, Presidents' Weekend",At or Somewhat Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Little or No Change,High,Considerably Better Than Target,Little or No Change,High
66,Air Quality,Nitrate Deposition,Reduce Generation and Transport of Nitrate to Achieve Water Quality Standards,,,,,,,,,,,,
67,Air Quality,Nitrate Deposition,Vehicle Miles Traveled (Threshold Dashboard),At or Somewhat Better Than Target,Moderate Improvement,Low,Considerably Better Than Target,Moderate Improvement,Moderate,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,
68,Air Quality,Odor,Odor - Reduce Diesel Engine Fumes,,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Moderate,,,,,,
69,Air Quality,Ozone (O3),Highest 1-Hour Average Concentration of Ozone,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Moderate Improvement,High,At or Somewhat Better Than Target,Moderate Improvement,High,Somewhat Worse Than Target,Little or No Change,Moderate
70,Air Quality,Ozone (O3),Highest 8-Hour Average Concentration of Ozone,At or Somewhat Better Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Moderate Improvement,High,,,,,,
71,Air Quality,Ozone (O3),Oxides Of Nitrogen Emissions,At or Somewhat Better Than Target,Moderate Improvement,Low,Considerably Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Moderate Improvement,High
72,Air Quality,Ozone (O3),3-Year Average of the 4th Highest 8-hour Average Concentration of Ozone,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Moderate Improvement,High,,,,,,
73,Air Quality,Ozone (O3),Annual Nitrogen Dioxide (NO2) concentration,At or Somewhat Better Than Target,Moderate Improvement,Low,Considerably Better Than Target,Moderate Improvement,Moderate,,,,,,
74,Air Quality,Ozone (O3),Highest 1-Hour Concentration of NO2,At or Somewhat Better Than Target,Moderate Improvement,Low,At or Somewhat Better Than Target,Moderate Improvement,High,,,,,,
75,Air Quality,Regional Visibility,"Regional Visibility 50th Percentile (""Average Visibility Days"")",At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Moderate Improvement,High
76,Air Quality,Regional Visibility,"Regional Visibility 90th Percentile (""Worst Visibility Days"")",At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,High,Considerably Worse Than Target,Moderate Decline,Moderate
77,Air Quality,Respirable and Fine Particulate Matter,Highest 24-Hour PM10 Concentration,Somewhat Worse Than Target,Moderate Improvement,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Moderate Decline,Moderate,Considerably Worse Than Target,Rapid Decline,Moderate
78,Air Quality,Respirable and Fine Particulate Matter,Highest 24-Hour PM2.5 Concentration,Considerably Better Than Target,Moderate Decline,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Moderate Decline,High,Somewhat Worse Than Target,Moderate Decline,Moderate
79,Air Quality,Respirable and Fine Particulate Matter,Annual Average PM2.5 Concentration,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Little or No Change,Moderate
80,Air Quality,Respirable and Fine Particulate Matter,Annual Average PM10 Concentration,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Considerably Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Moderate Improvement,Moderate
