Parameter,mu,ssq,tsq,growth_rate,growth_percent,Start_Year,End_Year,Species,CI_lower,CI_upper,growth_rate_low,growth_rate_upper,growth_percent_lower,growth_percent_upper
EGOE,0.0131,0,0.029,1.013186181,1.318618091,1997,2023,Osprey,-0.02657,0.06498,0.973779877,1.067137681,-2.622012314,6.713768142
EGPN,0.0215,0.0272,0,1.02173279,2.173279034,1997,2023,Osprey,-0.02657,0.06498,0.973779877,1.067137681,-2.622012314,6.713768142
EGSS_ML,0.019,0.0117,0.0069,1.019181649,1.918164862,1997,2023,Osprey,-0.02657,0.06498,0.973779877,1.067137681,-2.622012314,6.713768142
EGSS_REML,,0.0138,0.0067,,,1997,2023,Osprey,-0.02657,0.06498,0.973779877,1.067137681,-2.622012314,6.713768142
EGOE,0.0496,0,0.1098,1.050850672,5.085067203,1998,2023,Bald Eagle - winter,0.000747,0.0931,1.000747279,1.097571487,0.074727907,9.757148693
EGPN,0.0439,0.1832,0,1.044877862,4.487786188,1998,2023,Bald Eagle - winter,0.000747,0.0931,1.000747279,1.097571487,0.074727907,9.757148693
EGSS_ML,0.0496,5.89E-11,0.1013,1.050850672,5.085067203,1998,2023,Bald Eagle - winter,0.000747,0.0931,1.000747279,1.097571487,0.074727907,9.757148693
EGSS_REML,,0.0113,0.0886,,,1998,2023,Bald Eagle - winter,0.000747,0.0931,1.000747279,1.097571487,0.074727907,9.757148693
EGOE,0.1081,0,0.0841,1.114159156,11.41591557,2009,2023,Peregrine Falcon,-0.009546,0.2138659,0.990499418,1.238456567,-0.950058158,23.84565666
EGPN,0.099,0.0607,0,1.1040663,10.40662996,2009,2023,Peregrine Falcon,-0.009546,0.2138659,0.990499418,1.238456567,-0.950058158,23.84565666
EGSS_ML,-11.5401,286.3121,1.11E-248,9.73E-06,-99.99902681,2009,2023,Peregrine Falcon,-0.009546,0.2138659,0.990499418,1.238456567,-0.950058158,23.84565666
EGSS_REML,,0.0445,0.0075,,,2009,2023,Peregrine Falcon,-0.009546,0.2138659,0.990499418,1.238456567,-0.950058158,23.84565666
EGOE,-0.0019,0,0.0134,0.998101804,-0.189819614,2003,2023,Osprey - post 2002,-0.03306537,0.01674914,0.967475314,1.016890193,-3.252468634,1.689019325
EGPN,-0.0161,0.0225,0,0.984028912,-1.597108776,2003,2023,Osprey - post 2002,-0.03306537,0.01674914,0.967475314,1.016890193,-3.252468634,1.689019325
EGSS_ML,-0.0019,6.30E-11,0.0121,0.998101804,-0.189819614,2003,2023,Osprey - post 2002,-0.03306537,0.01674914,0.967475314,1.016890193,-3.252468634,1.689019325
EGSS_REML,,0.0028,0.0098,,,2003,2023,Osprey - post 2002,-0.03306537,0.01674914,0.967475314,1.016890193,-3.252468634,1.689019325
